"Species","Taxonomic.group","BorderT1_0.9","borderT2_0.9","D_border_0.9","D_border_CI_l_0.9","D_border_CI_h_0.9","BorderT1_0.75","borderT2_0.75","D_border_0.75","D_border_CI_l_0.75","D_border_CI_h_0.75","temp.mean","temp.sd","temp.mean.k","temp.k.cv","precip.mean","precip.sd","precip.cv","gdd.aug.mean","gdd.aug.sd","gdd.aug.cv","swc.mean","swc.sd","swc.cv","range.size","wintering","body.size","num.gen"
"Abrostola tripartita","Moth",6990,7000,10,-95.0261074118309,126.447070245788,6860,6902,42,-83.5788171090522,140.71379992431,8.88179248229532,4.09116303574185,282.031792482295,0.0145060349393009,769.077588045542,312.347533031483,0.406132668389482,1635.83901885905,595.42888828584,0.36398990452076,0.433672555977706,0.126297539935454,0.291227881945904,2396,"pupa",33.1,2
"Achlya flavicornis","Moth",7210,6982,-228,-430.115782405071,-76.469757895308,6960,6896,-64,-255.360001009789,20.1390402248291,7.21391088365644,3.78066688069757,280.363910883656,0.0134848556962328,775.85928346581,317.73459484606,0.409526059193003,1404.61357654985,483.558754284982,0.344264616516627,0.456871427412152,0.129651766076452,0.283781734416696,2063,"pupa",42.4,1
"Acronicta megacephala","Moth",6990,6980,-10,-90.8953615957689,76.7324245891696,6860,6898,38,-75.8559732048453,107.159747499348,8.44366324683157,4.16509227534302,281.593663246832,0.0147911434771602,763.128637580946,310.228747133992,0.406522219002803,1582.89185578166,577.405984345779,0.364779174418486,0.436958193454931,0.126076691618633,0.288532618239225,2327,"pupa",40.5,1
"Acronicta rumicis","Moth",6870,7010,140,37.1984912503029,188.663124154307,6820,6904,84,4.46507295112544,178.806813097092,8.79247111380324,4.18766157600331,281.942471113803,0.0148528937816999,756.371745365827,305.778002229576,0.40426946683695,1636.62408960522,594.550197106889,0.363278410041187,0.429182480988981,0.121197634382016,0.282391849039914,2355,"pupa",35.5,2
"Aethalura punctulata","Moth",6940,6966,26,-21.9306410106298,116.012169835985,6848,6866,18,-50.7649115289985,97.2027173709665,7.92910286129692,2.74198550653371,281.079102861297,0.00975520940056077,770.864185251434,263.535997442215,0.341870854145672,1481.10718307495,366.698995018981,0.247584374182611,0.442511600448012,0.108442105222325,0.245060480024783,1578,"pupa",26.9,1
"Agrotis exclamationis","Moth",6870,6908,38,-34.4520633008772,108.287910347535,6780,6808,28,-80.8764916873413,113.931068186621,8.96729503388951,3.89560483516793,282.117295033889,0.013808458055363,768.919866428667,311.512705060204,0.405130259551049,1644.09464228408,577.590730530671,0.35131233669629,0.430662084536276,0.124442930053017,0.288957246345504,2329,"larva",37.8,2
"Alcis repandatus","Moth",6980,7050,70,-15.4603526573625,158.539336449604,6890,6942,52,-41.5166085898141,148.534937504011,8.39123216342665,3.48883982240018,281.541232163427,0.0123919320647677,779.343091213006,301.78599547127,0.387231244972681,1556.59471826894,490.788387142725,0.315296191990502,0.437982461816353,0.12274754679578,0.280256762535045,2130,"larva",38,2
"Allophyes oxyacanthae","Moth",6820,6980,160,35.6740312024487,212.805069324886,6770,6870,100,33.5957978806587,186.904202119341,8.50193738537681,2.78283979633317,281.651937385377,0.00988042128226331,797.237896332628,320.582642529129,0.402116663048558,1553.73406500359,436.882699745343,0.281182416982235,0.438909386302392,0.125892661337553,0.286830642648453,1784,"egg",42.3,1
"Amphipoea fucosa","Moth",7000,7000,0,-114.215483643941,85.5830677267982,6870,6908,38,-82.5538538902534,134.627561031903,7.22513191521636,3.12180931792464,280.375131915216,0.0111344016018819,758.850536911858,298.183626672784,0.392941181653824,1418.03444447799,421.362515677035,0.297145472959331,0.44338026143856,0.125639557223442,0.283367502233412,1639,"egg",33.5,1
"Amphipoea oculea","Moth",6960,7032,72,-82.978652005052,161.834426914814,6850,6928,78,-11.0728426995679,173.739509366235,8.03019794050835,3.27971427917126,281.180197940508,0.0116641011820654,769.301048225036,278.85587353506,0.362479518490776,1507.69964419615,449.237755433851,0.297962367480274,0.439174556422377,0.119299963063254,0.271645889586821,1974,"egg",29.8,1
