Species,Latitudinal Difference,Latitudinal Std,FamCode,GenCode,Fresh,Brack,Saltwater,DemersPelag,DepthRangeDeep,Vulnerability,Length,LTypeMaxM,UsedforAquaculture,Electrogenic
Allosmerus elongatus,-0.018377549,2.115310538,80,8446,0,0,-1,demersal,103,31.88,22.9,TL,never/rarely,no special ability
Alosa sapidissima,2.327595366,1.572071131,43,4924,-1,-1,-1,pelagic-neritic,250,50.69,76,TL,never/rarely,no special ability
Anoplopoma fimbria,0.102598897,1.800811518,270,3471,0,0,-1,bathydemersal,2740,55.72,120,TL,likely future use,no special ability
Apristurus brunneus,4.353113508,1.970849248,10,8966,0,0,-1,demersal,1306,52.37,69,TL,never/rarely,Electrosensing only
Atheresthes stomias,0.056714222,0.229545801,440,5992,0,0,-1,demersal,950,63.58,84,TL,never/rarely,no special ability
Careproctus melanurus,-0.705782821,1.29080444,615,1321,0,0,-1,bathydemersal,2286,31.06,54,TL,never/rarely,no special ability
Chilara taylori,0.855503106,2.137042155,186,8048,0,-1,-1,demersal,280,32.43,40.4,TL,never/rarely,no special ability
Citharichthys sordidus,1.450380952,0.732131641,514,3248,0,0,-1,demersal,549,34.93,41,TL,never/rarely,no special ability
Cryptacanthodes giganteus,1.295614501,1.8760892,394,5460,0,0,-1,demersal,128,60.48,117,TL,never/rarely,no special ability
Engraulis mordax,-7.798518486,3.378279378,454,498,0,0,-1,pelagic-neritic,310,29.58,24.8,SL,never/rarely,no special ability
Eopsetta jordani,-2.432457998,0.860739358,440,1364,0,0,-1,demersal,550,55.16,53,TL,never/rarely,no special ability
Gadus macrocephalus,0.206377355,0.319677449,183,3348,0,-1,-1,demersal,1280,50.18,119,TL,never/rarely,no special ability
Galeorhinus galeus,8.090205963,4.13152213,488,2272,0,0,-1,benthopelagic,1100,73.97,193,TL,never/rarely,Electrosensing only
Genyonemus lineatus,0.500207254,0.266887165,331,7639,0,0,-1,benthopelagic,183,22.94,41,TL,never/rarely,no special ability
Glyptocephalus zachirus,-0.449516926,0.625787606,440,891,0,0,-1,demersal,900,64.5,60,TL,never/rarely,no special ability
Hexagrammos decagrammus,0.126072103,1.330234887,271,10062,0,0,-1,demersal,46,48.43,61,TL,never/rarely,no special ability
Hexanchus griseus,0,3.324921039,5,5258,0,0,-1,bathydemersal,2500,84,482,TL,never/rarely,electrosensing only
Hippoglossoides elassodon,1.226272074,0.424346314,440,3497,0,0,-1,demersal,1050,69.58,52,SL,never/rarely,no special ability
Hippoglossus stenolepis,1.719654765,0.786804034,440,6785,0,0,-1,demersal,1200,86.03,258,TL,never/rarely,no special ability
