Taxon,migration_m,migr_sterr_m,shift + 2SE,signif_shift,signif_shift2,StorageOrgan,ReprModeCode,flwr_mo_start,flwr_mo_end,flwr_dur_mos,earliest_seed_shed_mo,latest_seed_shed_mo,seed_shed_dur_mos,SI01,BreedSysCode,seed_mass_mg,diaspore_mass_mg,dispersal_mode,dispmode01,diaspore_min_len_mm,diaspore_max_len_mm,diaspore_ave_len_mm,Min_seed_shed_ht_m,Max_seed_shed_ht_m,Ave_seed_shed_ht_m,Grime,nichebreadth_num_flor_zones,oceanity,nichebreadth_amplit_ocean,Bio1_mean_nosyn,Bio1_std_nosyn,Bio1_var_nosyn,Bio1_mean_inclsyn,Bio1_std_inclsyn,Bio1_var_inclsyn,Nbound_lat_GBIF_nosyn,DispModeEng,GenTime,Resil,MaxAlt
Achillea_atrata,6.8,NA,NA,NA,NA,0,2,7,9,3,9,12,4,1,1,0.3,0.3,gravity,1,2,3,2.5,0.08,0.2,0.14,cs,2,so,3,0.466387494,2.755689022,7.593821983,0.470346725,2.761213897,7.624302185,47.77,1,3,5,2800
Achillea_nana,-0.5,1.6,2.7,0,0,0,NA,0,0,0,NA,NA,NA,0,NA,0.2,0.2,gravity,1,2,2.5,2.25,NA,NA,NA,NA,NA,NA,NA,2.28423913,3.200373896,10.24239308,2.28423913,3.200373896,10.24239308,46.6025,NA,NA,NA,NA
Adenostyles_leucophylla,-5.3,4.25,3.2,0,0,NA,NA,0,0,0,NA,NA,NA,0,NA,0.3,0.3,wind,1,8,12,10,NA,NA,NA,NA,NA,NA,NA,0.367496667,2.2459191,5.044152605,0.367496667,2.2459191,5.044152605,47.0081,NA,NA,NA,NA
Agrostis_alpina,0.6,3.8,-7,0,0,0,2,7,9,3,8,11,4,1,1,0.1,0.1,wind,1,2.5,3,2.75,0.1,0.2,0.15,csr,3,o,2,0.258342857,1.662410566,2.76360889,0.258342857,1.662410566,2.76360889,47.6536,3,2,5,2914
Androsace_alpina,1.3,1.5,-1.7,0,0,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,gravity,0,1.5,2.2,1.85,NA,NA,NA,NA,NA,NA,NA,2.20310625,2.08973501,4.366992413,2.20310625,2.08973501,4.366992413,47.275,NA,NA,NA,NA
Androsace_chamaejasme,-3.1,3.1,3.1,0,0,0,2,6,7,2,9,12,4,0,3,0.59,0.59,gravity,0,2,3,2.5,0.01,0.1,0.055,csr,5,sks,4,-0.427494774,1.595397121,2.545291975,-0.427494774,1.595397121,2.545291975,70.48,4,2,5,NA
Androsace_helvetica,-2.1,3.9,5.7,0,0,1,1,5,7,3,9,12,4,0,2,NA,NA,gravity,0,2,2,2,0.01,0.05,0.03,csr,2,so,3,3.276910811,1.710530313,2.925913953,3.276910811,1.710530313,2.925913953,47.3667,NA,NA,NA,NA
Androsace_obtusifolia,-0.4,1.6,2.8,0,0,1,1,6,7,2,8,12,5,0,3,0.72,0.72,gravity,0,2,3,2.5,0.02,0.1,0.06,csr,2,so,3,-0.0625,1.422764524,2.02425889,-1.173341797,2.008095803,4.032448754,47.7,NA,NA,NA,3000
Antennaria_carpatica,3.1,4.2,-5.3,0,0,0,2,6,8,3,7,12,6,1,1,0.08,0.08,wind,1,7,7.5,7.25,NA,NA,NA,csr,4,so,3,-1.105348478,1.743559886,3.040001075,-1.105348478,1.743559886,3.040001075,47.3555,NA,NA,NA,NA
Arabis_alpina,4.2,1.8,0.6,1,1,1,1,3,10,8,NA,NA,NA,0,3,0.24,0.24,gravity,0,1,1.5,1.25,NA,NA,NA,csr,3,os,4,2.880435,3.087079188,9.530057913,2.880435,3.087079188,9.530057913,71.1755,1,2,5,NA
